id,difficulty,question,expected_answer,rag_answer,expected_sources,retrieved_sources,retrieval_hit,source_recall,source_precision,all_expected_sources_retrieved,matched_sources,answer_correctness,groundedness,citation_correctness,overall_score,judge_explanation,latency_s,cost_usd,tokens_in,tokens_out
E01,easy,Which months are considered the best time to visit Chennai?,November to February is considered the best time to visit Chennai.,The best months to visit Chennai are from November to February for relatively cooler sightseeing weather [source id: 0].,chennai_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/chennai_travel_guide.txt#1, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/chennai_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/kochi_travel_guide.txt#1, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/chennai_travel_guide.txt#3, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/bangalore_travel_guide.txt#1",False,0.0,0.0,False,,5,5,5,5,"The RAG answer correctly identifies the best months to visit Chennai as November to February, which matches the golden answer. It is well-supported by the retrieved source documents, and all relevant sources were included.",1.4526984691619873,0.00011295,661,23
E02,easy,Which airport serves Bengaluru?,Kempegowda International Airport serves Bengaluru.,The airport that serves Bengaluru is Kempegowda International Airport [3].,bangalore_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/bangalore_travel_guide.txt#4, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/bangalore_travel_guide.txt#3, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/bangalore_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/bangalore_travel_guide.txt#1, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/chennai_travel_guide.txt#4",False,0.0,0.0,False,,5,5,5,5,"The RAG answer correctly identifies Kempegowda International Airport as the airport serving Bengaluru, matching the golden answer. The answer is well-supported by the retrieved source documents, which include relevant information about the airport. All important expected source documents were retrieved, confirming the accuracy and relevance of the information provided.",1.5396311283111572,0.0001077,658,15
E03,easy,What is Mumbai known for as described in the travel guide?,"Mumbai is India's financial and entertainment capital and is known for colonial heritage, beaches, business and Bollywood culture.","Mumbai is known for being India's financial and entertainment capital, combining colonial heritage, beaches, business, and Bollywood culture [0].",mumbai_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/mumbai_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/mumbai_travel_guide.txt#1, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/mumbai_travel_guide.txt#3, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/mumbai_travel_guide.txt#4, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/mumbai_travel_guide.txt#5",False,0.0,0.0,False,,5,5,5,5,"The RAG answer accurately reflects the key points from the golden answer, is well-supported by the retrieved sources, and all relevant documents were retrieved.",1.2238328456878662,0.00011535,669,25
E04,easy,Name two major heritage attractions mentioned in the Delhi travel guide.,"Any two of the following are correct: Red Fort, Qutub Minar, Humayun's Tomb, India Gate, Jama Masjid, Lotus Temple or Akshardham.",Two major heritage attractions mentioned in the Delhi travel guide are Qutub Minar and Humayun's Tomb [source id: 1].,delhi_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/delhi_travel_guide.txt#2, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/delhi_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/delhi_travel_guide.txt#1, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/delhi_travel_guide.txt#4, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/delhi_travel_guide.txt#3",False,0.0,0.0,False,,5,5,5,5,"The RAG answer correctly identifies two major heritage attractions, Qutub Minar and Humayun's Tomb, which are included in the expected answer. The answer is well-supported by the retrieved source documents, and all relevant documents were retrieved.",1.5117886066436768,0.0001197,686,28
E05,easy,In which year was Hyderabad founded according to the travel guide?,Hyderabad was founded in 1591.,Hyderabad was founded in 1591 according to the travel guide [0].,hyderabad_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/hyderabad_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/hyderabad_travel_guide.txt#5, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/hyderabad_travel_guide.txt#1, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/hyderabad_travel_guide.txt#2, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/hyderabad_travel_guide.txt#3",False,0.0,0.0,False,,5,5,5,5,"The RAG answer is fully correct, accurately stating the founding year of Hyderabad as 1591, which matches the golden answer. It is well-supported by the retrieved source documents, and all relevant documents were retrieved.",1.1855764389038086,0.0001101,670,16
E06,easy,Which area of Kochi is known for colonial streets and waterfront views?,Fort Kochi is known for colonial streets and waterfront views.,Fort Kochi is known for colonial streets and waterfront views [source id: 1].,kochi_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/kochi_travel_guide.txt#2, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/kochi_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/kochi_travel_guide.txt#3, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/kochi_travel_guide.txt#1, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/kochi_travel_guide.txt#4",False,0.0,0.0,False,,5,5,5,5,"The RAG answer is fully correct, accurately stating that Fort Kochi is known for colonial streets and waterfront views. It is well-supported by the retrieved source documents, which include relevant information about Fort Kochi. All important expected source documents were retrieved, confirming the answer's validity.",1.138427972793579,0.00011084999999999998,667,18
E07,easy,When did Goa join India according to the travel guide?,Goa joined India in 1961.,Goa joined India in 1961 according to the travel guide [5].,goa_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/goa_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/goa_travel_guide.txt#5, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/goa_travel_guide.txt#2, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/goa_travel_guide.txt#3, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/goa_travel_guide.txt#4",False,0.0,0.0,False,,5,5,5,5,"The RAG answer is fully correct, directly matches the golden answer, is well-supported by the retrieved sources, and all relevant documents were retrieved.",1.1747889518737793,0.00010605,643,16
E08,easy,In which year did Singapore become an independent republic?,Singapore became an independent republic in 1965.,Singapore became an independent republic in 1965 [5].,singapore_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/singapore_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/singapore_travel_guide.txt#5, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/singapore_travel_guide.txt#1, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/singapore_travel_guide.txt#3, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/singapore_travel_guide.txt#2",False,0.0,0.0,False,,5,5,5,5,"The RAG answer is fully correct, accurately stating that Singapore became an independent republic in 1965. It is well-supported by the retrieved source documents, which likely contain this information. All relevant expected source documents were retrieved.",1.1378169059753418,0.00010545,655,12
E09,easy,What public transport card is commonly used across major public transport in Dubai?,Nol cards are used across major public transport in Dubai.,The public transport card commonly used across major public transport in Dubai is the Nol card [4].,dubai_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/dubai_travel_guide.txt#4, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/dubai_travel_guide.txt#3, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/dubai_travel_guide.txt#2, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/dubai_travel_guide.txt#5, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/dubai_travel_guide.txt#0",False,0.0,0.0,False,,5,5,5,5,"The RAG answer correctly identifies the Nol card as the public transport card used in Dubai, which matches the golden answer. It is well-supported by the retrieved source documents, and all relevant documents were included.",1.3489511013031006,0.00011205,671,19
E10,easy,Which ancient settlement is London said to have developed from?,London developed from the Roman settlement of Londinium.,London is said to have developed from the ancient settlement of Roman Londinium [source id: #0].,london_travel_guide.txt,"/voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/london_travel_guide.txt#6, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/london_travel_guide.txt#5, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/london_travel_guide.txt#0, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/london_travel_guide.txt#3, /voc/work/Demo Files/AI-RAG_W6_TrackAB_Bundle/ShortFormatFiles/london_travel_guide.txt#4",False,0.0,0.0,False,,5,5,5,5,"The RAG answer is fully correct, accurately stating that London developed from the Roman settlement of Londinium. It is well-supported by the retrieved source documents, which include relevant information about Londinium. All important expected source documents were retrieved, confirming the answer's validity.",1.4629888534545898,0.00010169999999999999,594,21
